ID,,Geography,,,Districts,,,MyCampaign,,DVC Universe,,Expected Vote,,Turf Assignment,
VAN Precinct ID,DNC Precinct ID,State,County,Precinct Name,CD,SD,HD,Historic Vols,Total MyC,Mid Support DVC,High Support DVC,Exp Vote,Exp Dem,Region,Organizer
347509,586448,GA,Bibb,Ho7,8,18,142,9,62,313,557,1956.3944,853.3803892,,
347512,704529,GA,Bibb,Ru1,2,18,143,7,65,576,1621,3855.109,1957.24984,,
347513,594545,GA,Bibb,Ru2,2,26,143,9,33,305,975,2238.0431,1041.624994,,
347514,618395,GA,Bibb,Vv1,2,26,143,20,77,392,1334,1687.9423,1159.250922,,
347515,640727,GA,Bibb,Vv2,2,26,143,12,52,166,826,929.3943,680.6877986,,
347516,663555,GA,Bibb,Vv3,2,26,142,3,47,96,1463,1257.411,1074.791032,,
347517,650538,GA,Bibb,Vv4,2,26,142,12,53,192,1815,1763.2429,1462.858434,,
347518,717418,GA,Bibb,Vv5,8,25,142,8,32,257,645,1444.7219,740.7968588,,
347519,652687,GA,Bibb,Vv6,2,26,142,11,44,394,859,1690.3783,932.6466532,,
347523,650512,GA,Bibb,Wa1,2,18,145,3,24,217,532,1795.5023,703.84434,,
347524,594590,GA,Bibb,Wa2,2,18,145,7,36,217,657,2166.7371,892.9328288,,
347525,592403,GA,Bleckley,1,8,20,133,6,39,487,1009,4968.7868,1100.28224,,
347526,833281,GA,Brantley,1,1,3,174,,5,38,28,1952.3106,133.0735202,,
347527,704524,GA,Brantley,2,1,3,174,,10,76,78,2433.6703,220.439121,,
347528,684350,GA,Brantley,3,1,3,174,,7,95,96,2244.7575,223.3586706,,
347536,710824,GA,Brooks,1199,8,11,175,1,20,250,1233,1768.9193,951.4996154,,
347537,670376,GA,Brooks,1230,8,11,175,,1,22,55,221.083,65.99229751,,
347538,680397,GA,Brooks,1402,8,11,175,1,11,103,277,625.1115,284.0241064,,
347540,586478,GA,Brooks,1650,8,11,175,2,5,125,271,1239.2051,298.1398706,,
347541,670421,GA,Brooks,1712,8,11,175,,2,42,95,361.0297,99.75053375,,
347543,677468,GA,Brooks,659,8,11,175,,3,36,59,423.9237,81.1260412,,
347544,650546,GA,Brooks,660,8,11,175,,8,137,267,1131.7733,317.5608454,,
347545,650506,GA,Bryan,1,1,1,160,2,13,179,467,1398.1658,440.7070199,,
347548,626495,GA,Bryan,2,1,1,160,5,17,172,303,1852.0742,426.21407,,
1701139,694165,GA,Bryan,3,1,1,160,2,5,96,202,848.9652,218.1392813,,
347550,592451,GA,Bryan,4,1,1,164,5,44,396,862,1887.6905,808.5229213,,
347552,594596,GA,Bryan,5,1,1,164,8,43,390,776,1624.8471,702.9686536,,
347546,648439,GA,Bryan,6,1,1,164,5,39,187,249,1957.8482,512.9080722,,
347554,636972,GA,Bryan,7,1,1,166,8,60,347,540,2925.9105,859.5583533,,
347553,721726,GA,Bryan,8,1,1,166,8,60,287,342,2492.0284,697.2587776,,
1701140,586439,GA,Bryan,9,1,1,164,8,67,584,980,2470.2001,1021.551919,,
347551,710758,GA,Bryan,10,1,1,166,8,31,151,227,1349.1621,373.2032821,,
347555,618398,GA,Bulloch,1,12,4,159,1,3,48,89,491.1706,127.3730031,,
347563,656968,GA,Bulloch,2,12,4,159,,11,138,237,1400.9649,370.1178242,,
347564,616277,GA,Bulloch,3,12,4,159,5,16,150,452,1456.7017,492.6809807,,
347565,586434,GA,Bulloch,4,12,4,160,3,16,240,472,2311.4271,609.392138,,
347566,689772,GA,Bulloch,5,12,4,160,,9,103,177,1441.7237,309.5493236,,
347567,695810,GA,Bulloch,6,12,4,160,1,5,59,110,1061.6317,205.9275829,,
347568,620493,GA,Bulloch,7,12,4,160,,1,55,148,835.8243,188.5490596,,
347569,710782,GA,Bulloch,8,12,4,158,,,17,29,304.3517,62.02941986,,
347570,660742,GA,Bulloch,9,12,4,158,1,6,83,205,558.4278,189.5650938,,
347556,670398,GA,Bulloch,10,12,4,160,4,34,255,582,2134.4895,693.0751611,,
347557,628643,GA,Bulloch,11,12,4,158,7,53,438,1725,3287.8092,1507.372985,,
347558,650488,GA,Bulloch,12,12,4,158,,9,101,236,1024.6762,279.5518247,,
347559,618432,GA,Bulloch,13,12,4,160,17,73,514,1298,3587.634,1322.705315,,
347560,636926,GA,Bulloch,14,12,4,159,11,59,477,1686,2999.4456,1437.209384,,
347561,657031,GA,Bulloch,15,12,4,160,12,55,436,1681,1696.4372,933.0766682,,
347562,694198,GA,Bulloch,16,12,4,160,,5,45,72,685.6845,136.6474771,,
347578,715738,GA,Burke,2,12,23,126,,18,203,520,1463.3363,541.7240273,,
347579,652732,GA,Burke,3,12,23,126,1,4,57,190,421.7526,200.8056323,,
347580,586416,GA,Burke,4,12,23,126,,8,53,208,547.2867,263.0206214,,
347581,620504,GA,Burke,5,12,23,126,3,9,86,225,591.7737,228.2988338,,
347582,677471,GA,Burke,6,12,23,126,,1,36,119,204.3149,99.66408509,,
347583,680379,GA,Burke,7,12,23,126,,1,70,263,400.7082,224.3186618,,
347585,636986,GA,Burke,9,12,23,126,1,8,86,324,738.7208,295.1768396,,
347573,626506,GA,Burke,11,12,23,126,1,8,62,265,587.357,258.2426314,,
347575,642973,GA,Burke,13,12,23,126,1,5,20,77,173.6159,77.96113513,,
347576,682660,GA,Burke,14,12,23,126,5,37,309,1366,1726.0563,1063.479615,,
347577,710797,GA,Burke,15,12,23,126,8,34,277,939,2057.3914,890.2341897,,
1937038,1063638,GA,Butts,Bcab,10,25,118,12,96,1163,2983,10445.8342,2924.994714,,
347592,650491,GA,Calhoun,1,2,12,154,,6,85,222,428.2704,237.6628595,,
347593,614110,GA,Calhoun,2,2,12,154,,1,89,130,360.9352,141.5711569,,
347594,614080,GA,Calhoun,3,2,12,154,1,3,42,227,259.8196,184.5144316,,
347595,640824,GA,Calhoun,4,2,12,154,1,7,80,218,340.7988,192.8711799,,
347596,620583,GA,Calhoun,5,2,12,154,,8,44,267,303.4856,210.4660996,,
2334224,1142954,GA,Camden,301 Tarboro,1,3,180,,6,66,98,637.9838,172.7454482,,
2334214,1142955,GA,Camden,302 Waverly,1,3,180,3,13,109,189,1250.8846,339.3215288,,
2334225,1142956,GA,Camden,303 Woodbine,1,3,180,2,12,143,318,1153.8416,382.0064257,,
2334218,1142957,GA,Camden,304 Harrietts Bluff,1,3,180,1,6,99,151,1242.2953,305.0095133,,
2334220,1142958,GA,Camden,305 West Kingsland,1,3,180,2,11,174,340,1642.4651,426.4034059,,
2334213,1142959,GA,Camden,306 Historic Kingsland,1,3,180,3,33,485,1020,2464.1671,985.933928,,
2334221,1142960,GA,Camden,307 East Kingsland,1,3,180,10,56,785,1393,4368.9418,1568.163264,,
2334217,1142961,GA,Camden,308 St. Marys,1,3,180,12,41,587,955,2762.8956,1031.71297,,
2334223,1142962,GA,Camden,309 North St. Marys,1,3,180,5,21,186,338,1071.118,334.0450485,,
2334216,1142963,GA,Camden,310 South St. Marys,1,3,180,3,15,177,270,1431.4368,431.6266611,,
2334222,1142964,GA,Camden,311 West St. Marys,1,3,180,4,31,262,293,2338.4773,611.2849564,,
2007403,1079996,GA,Candler,Cand,12,4,158,,24,416,952,3765.8757,996.944847,,
347613,684357,GA,Carroll,1006,3,6,18,,3,30,27,795.403,108.2374569,,
347614,650548,GA,Carroll,1111,3,6,18,1,12,153,357,1779.9984,403.3509469,,
347615,632932,GA,Carroll,1122,3,30,71,1,21,254,602,2479.0215,695.2760285,,
347616,715744,GA,Carroll,1152,3,30,18,5,10,65,93,1287.3312,207.4444045,,
347618,614024,GA,Carroll,1240,3,30,18,3,12,143,181,1575.4031,310.3714506,,
347619,650536,GA,Carroll,1371,3,6,72,1,8,62,85,969.038,179.6093715,,
347620,650524,GA,Carroll,1483,3,6,72,2,22,174,337,2430.905,528.5269435,,
347621,636919,GA,Carroll,1496,3,30,18,3,10,84,194,910.0933,203.3786742,,
347622,648392,GA,Carroll,1533,3,6,18,4,12,75,99,1259.5689,211.5486478,,
347623,650513,GA,Carroll,1540,3,30,71,22,70,275,480,2578.2416,742.9267194,,
347624,670424,GA,Carroll,1542,3,30,71,3,14,137,277,1657.8139,367.5818625,,
347625,673721,GA,Carroll,501,3,30,71,1,21,279,855,2177.4076,792.0252656,,
347626,679656,GA,Carroll,640,3,30,71,3,20,144,354,1627.4982,404.3900717,,
347627,657069,GA,Carroll,641,3,30,71,11,59,395,1079,2929.7596,1055.398959,,
347628,679622,GA,Carroll,642,3,30,71,9,82,637,2491,3445.8438,1803.4591,,
347629,594576,GA,Carroll,649,3,30,71,3,13,200,461,2274.6774,544.0581803,,
347630,677489,GA,Carroll,650,3,30,71,4,26,366,976,2136.0227,809.2213161,,
347631,679639,GA,Carroll,682,3,6,70,3,11,91,127,1363.1974,263.2665586,,
347632,656969,GA,Carroll,713,3,6,72,,8,127,169,2134.9086,356.9572726,,
347633,717430,GA,Carroll,714a1,3,30,72,7,50,359,1298,1717.6961,893.728198,,
347634,614055,GA,Carroll,714a2,3,30,71,8,31,159,419,986.4763,404.8075353,,
347635,654799,GA,Carroll,714a3,3,30,72,7,43,284,688,2038.3985,698.7157483,,
347636,652667,GA,Carroll,714a4,3,6,72,8,22,141,379,995.0972,315.8815729,,
347637,650540,GA,Carroll,714a5,3,30,71,6,41,229,439,1483.1677,526.9179391,,
347638,628654,GA,Carroll,714a6,3,30,72,1,16,81,179,917.1451,248.8345732,,
347640,640738,GA,Carroll,714bn,3,30,18,,7,82,232,827.5829,277.5043643,,
347642,654831,GA,Carroll,714bw,3,6,72,6,15,127,249,1388.9863,338.7815544,,
347643,694196,GA,Carroll,715,3,6,72,,5,68,152,1007.0919,213.1470385,,
347645,652714,GA,Catoosa,Blck,14,53,3,,8,89,96,1152.5517,218.6510184,,
