van_precinct_id,county_name,van_precinct_name,Current Region,Current Turf,Comments,HDs,voters,supporters,,
295900,Fairfax,513 - Saint Albans,R02 - Fairfax,R02A - Annandale,,14,2793,1982,,
295907,Fairfax,521 - Brook Hill,R02 - Fairfax,R02A - Annandale,,14,2566,1605,,
295897,Fairfax,510 - Parklawn,R02 - Fairfax,R02A - Annandale,,14,2500,1827,,
295901,Fairfax,515 - Westlawn,R02 - Fairfax,R02A - Annandale,,13,1992,1403,,
1815727,Fairfax,509 - Plaza,R02 - Fairfax,R02A - Annandale,,4,1249,1029,,
295892,Fairfax,505 - Glen Forest,R02 - Fairfax,R02A - Annandale,,4,3459,2744,,
2228445,Fairfax,530 - Tripps,R02 - Fairfax,R02A - Annandale,,13,2033,1684,,
295906,Fairfax,520 - Skyline,R02 - Fairfax,R02A - Annandale,,4,3213,2560,,
295911,Fairfax,525 - Walnut Hill,R02 - Fairfax,R02A - Annandale,,13,4252,2951,,
295791,Fairfax,504 - Bristow,R02 - Fairfax,R02A - Annandale,,14,3111,2280,,
1845263,Fairfax,514 - Crossroads,R02 - Fairfax,R02A - Annandale,,4,1351,1103,,
296001,Fairfax,910 - London Towne,R02 - Fairfax,R02B - Centreville,,9,4511,3069,,
296009,Fairfax,919 - Green Trails,R02 - Fairfax,R02B - Centreville,,10,5002,3284,,
1071011,Fairfax,854 - Newgate South,R02 - Fairfax,R02B - Centreville,,10,3082,1696,,
295998,Fairfax,904 - Stonecroft,R02 - Fairfax,R02B - Centreville,,9,2176,1171,,
295996,Fairfax,902 - Brookfield,R02 - Fairfax,R02B - Centreville,,9,4779,3176,,
296008,Fairfax,918 - Centreville,R02 - Fairfax,R02B - Centreville,,10,5472,3653,,
296005,Fairfax,915 - Virginia Run,R02 - Fairfax,R02B - Centreville,,9,3055,1516,,
296015,Fairfax,926 - Powell,R02 - Fairfax,R02B - Centreville,,10,5129,3533,,
296007,Fairfax,917 - Stone,R02 - Fairfax,R02B - Centreville,,9,4326,2804,,
296011,Fairfax,921 - Deer Park,R02 - Fairfax,R02B - Centreville,,9,3593,2091,,
