van_precinct_id,van_precinct_name,county_name,Current Region,Current Turf,HDs,Zips,voters,supporters
297446,007- Park View Elementary School,Portsmouth (City),R09 - Suffolk,R09E - Portsmouth,088,"23704, 23708",1778,1277
297452,016 - Cradock Middle School,Portsmouth (City),R09 - Suffolk,R09E - Portsmouth,088,23702,2424,1713
297466,030 - The Rescue Church,Portsmouth (City),R09 - Suffolk,R09E - Portsmouth,088,23701,1908,663
297494,213 - Two Hundred Thirteen,Richmond (City),R06 - North Richmond,R06A - Downtown,079,"23223, 23219, 23220",3267,2782
297498,304 - Three Hundred Four,Richmond (City),R06 - North Richmond,R06C - Highland Park,079,"23222, 23060",2481,2265
297510,412 - Four Hundred Twelve,Richmond (City),R07 - South Richmond,R07H - West,077,23225,2858,2374
297532,707 - Seven Hundred Seven,Richmond (City),R07 - South Richmond,R07D - Placeholder1,079,"23219, 23223, 23222, 23112",3897,3340
297534,806 - Eight Hundred Six,Richmond (City),R07 - South Richmond,R07G - South Garden,079,"23234, 23224",2556,2271
297545,909 - Nine Hundred Nine,Richmond (City),R07 - South Richmond,R07G - South Garden,077,23225,2411,2121
297583,013 - Garden City,Roanoke (City),R12 - Shenandoah,R12C - South Roanoke,038,24014,3286,1230
297604,202 - Chuckatuck,Suffolk (City),R09 - Suffolk,R09C - HD 89,084,"23432, 23434, 23321",2417,904
297607,302 - John F Kennedy,Suffolk (City),R09 - Suffolk,R09C - HD 89,"089, 084","23434, 23707",3059,2467
297613,402 - Whaleyville,Suffolk (City),R09 - Suffolk,R09C - HD 89,089,"23437, 23438, 23434",2490,585
297635,009 - Precinct 9,Virginia Beach (City),R10 - Virginia Beach / Norfolk,R10A - Virginia Beach,099,23454,2918,1000
297656,030 - Precinct 30,Virginia Beach (City),R10 - Virginia Beach / Norfolk,R10A - Virginia Beach,098,"23460, 23454, 23451, 23461, 23464, 23452",3991,1448
297679,053 - Precinct 53,Virginia Beach (City),R10 - Virginia Beach / Norfolk,R10C - HD 97,097,"23462, 23452, 23464",3435,1437
297687,061 - Precinct 61,Virginia Beach (City),R10 - Virginia Beach / Norfolk,R10J - West Norfolk,095,"23603, 23462, 23601, 23508, 23455, 23452",4451,3416
297704,078 - Precinct 78,Virginia Beach (City),R10 - Virginia Beach / Norfolk,R10I - South,096,"23462, 23464, 23456",2920,1362
297724,401 - Frederick Douglass,Winchester (City),R12 - Shenandoah,R12E - Winchester,032,22601,2142,1062
295742,101 - West Fairfax,Culpeper,R05 - Fredericksburg,R05E - West,062,"22701, 22735",4885,2666
296878,103 - New Market,Shenandoah,R12 - Shenandoah,R12A - Harrisonburg,033,"22853, 22842, 22835, 22844, 22847, 22664",3790,528
295775,102 - Rocky Run,Dinwiddie,R11 - Southside,R11D - HD 82,082,"23833, 23841, 23824, 23850, 23894, 23885, 23872, 23236, 23840",1432,286
296980,502 - Spring Grove,Surry,R11 - Southside,R11D - HD 82,082,"23881, 23839, 23846, 23883",362,275
296744,203 - Newbern,Pulaski,R13 - Southwest,R13A -  Greater CD9,042,"24301, 24084, 24073",2833,471
296847,201 - North Castlewood,Russell,R13 - Southwest,R13B - Galax,044,"24283, 24266, 24245, 24224",2451,229
297037,401 - Glade Spring,Washington,R13 - Southwest,R13B - Galax,044,"24340, 24319",2336,197
297038,402 - Meadowview,Washington,R13 - Southwest,R13B - Galax,044,"24211, 24327, 24340, 24361",2991,305
296806,302 - Natural Bridge,Rockbridge,R12 - Shenandoah,R12D - Staunton,037,"24066, 24578, 24579, 24555, 24175",1206,145
2274018,103 - Precinct 103,Virginia Beach (City),R10 - Virginia Beach / Norfolk,R10C - HD 97,097,"23462, 23452, 23435",1875,1127
1569634,060 - Parker Road,Chesapeake (City),R09 - Suffolk,R09A - Chesapeake,090,23322,3050,911
1902008,006 - Round,Manassas (City),R03 - Loudoun,R03E - Manassas,020,20110,3213,1691
1991018,319 - Magnolia,Chesterfield,R07 - South Richmond,R07B - HD 73,073,"23120, 23838, 23224, 23231",7216,2683
1991019,303 - Colonial Trail,Henrico,R06 - North Richmond,R06B - HD 57,057,"23059, 23233",3037,1867
2228459,316 - Potomac Shores,Prince William,R04 - Prince William,R04B - Dumfries,023,"22026, 22302, 22193, 23518",3807,2579
2228485,303 - Benns Church,Isle of Wight,R09 - Suffolk,R09B - HD 84,084,"23430, 23314",1727,866
2228498,220 -Jenkins,Newport News (City),R08 - Newport News,R08E - Nicewood,070,"23608, 23602",4361,2856
2228511,202 - Nike Park A,Isle of Wight,R09 - Suffolk,R09D - Misc,083,"23304, 23314, 23430, 23517, 23424, 23502",2873,762
2257675,418 - Woolridge North,Chesterfield,R07 - South Richmond,R07B - HD 73,073,"23112, 23120",2360,974
2257701,147 - Precinct 147,Arlington,R01 - Inner Nova,R01D - Barcroft,003,"22203, 22204",2662,2245
2257713,701 - Park Ridge,Stafford,R04 - Prince William,R04E - HD 64,064,22554,4272,2077
2257730,118 - Precinct 118,Arlington,R01 - Inner Nova,R01B - Arlington,002,"22039, 22201, 22209",6795,5375
2274015,204 - Green Ridge,Roanoke,R12 - Shenandoah,R12B - North Roanoke,040,24019,2503,685
2274032,403 - West Massie,Pulaski,R13 - Southwest,R13A -  Greater CD9,046,24301,2917,471
2302179,714 - Rock Ridge,Loudoun,R03 - Loudoun,R03G - South Riding,026,"20166, 20148",3542,2277
2355398,322 - Hensley,Chesterfield,R07 - South Richmond,R07F - [Retired],074,"23832, 23112, 23838, 23831",4856,2131
295401,301 - Number Three,Amelia,R14 - Charlottesville,R14D - South,072,"23002, 23083, 23930",2123,449
295408,202 - Temperance,Amherst,R13 - Southwest,R13E - Lynchburg,053,"22922, 24521, 24483, 22967",1219,271
295477,201 - Crimora,Augusta,R12 - Shenandoah,R12D - Staunton,035,"24431, 24441, 24437, 22980",3692,367
295501,201 - Hot Springs,Bath,R12 - Shenandoah,R12D - Staunton,035,"24445, 22967",640,99
295521,502 - Suck Spring Baptist Church,Bedford,R13 - Southwest,R13E - Lynchburg,053,"24556, 24523",1283,152
295544,102 - Greenfield,Botetourt,R12 - Shenandoah,R12B - North Roanoke,037,"24153, 24083, 24175",2476,427
295558,501 - Troutville,Botetourt,R12 - Shenandoah,R12B - North Roanoke,037,"24175, 24019",1695,234
295619,702 - Gladys,Campbell,R13 - Southwest,R13E - Lynchburg,051,"24517, 24554, 24528, 24501, 24569, 24588, 24550",3742,779
295646,503 - Woodlawn E,Carroll,R13 - Southwest,R13B - Galax,047,"24381, 24343",919,64
295658,602 - Phenix,Charlotte,R14 - Charlottesville,R14D - South,050,"23923, 23959, 23962, 24528",1282,291
295748,501 - Jeffersonton,Culpeper,R05 - Fredericksburg,R05E - West,061,"22737, 22640, 22701, 20136, 20186, 20181, 20106, 22724, 22734",3516,1027
295751,602 - Pearl Sample,Culpeper,R05 - Fredericksburg,R05E - West,062,"22960, 22701, 20106, 20151, 22712, 22733",3555,1423
295839,301 - Chain Bridge,Fairfax,R02 - Fairfax,R02G - McLean,006,22101,4023,2536
295880,419 - Lane,Fairfax,R04 - Prince William,R04G - Spring Hill,017,22315,2729,1880
295899,512 - Sleepy Hollow,Fairfax,R02 - Fairfax,R02A - Annandale,013,"22042, 22044",3436,2474
295921,605 - Fort Hunt,Fairfax,R04 - Prince William,R04C - Groveton,016,22308,2630,1507
295965,729 - Nottoway,Fairfax,R02 - Fairfax,R02I - Vienna,012,"22180, 22030, 22181",4111,2897
295974,812 - Valley,Fairfax,R04 - Prince William,R04H - West Springfield,018,22152,3216,2068
296012,923 - Bull Run,Fairfax,R02 - Fairfax,R02B - Centreville,009,"20121, 20120, 20169",2900,1415
296022,105 - Opal,Fauquier,R03 - Loudoun,R03F - Misc,061,"22728, 22712, 20187",1621,375
296028,304 - Remington,Fauquier,R03 - Loudoun,R03F - Misc,061,22734,406,157
296043,301 - Fork Union,Fluvanna,R14 - Charlottesville,R14C - S Charlottesville,056,"23022, 24590, 23055, 22963, 22939",4423,1734
296113,202 - Sandy Hook,Goochland,R14 - Charlottesville,R14A - Central,056,"23063, 23153, 23233, 23065, 23453",2125,767
296196,604 - Hanover Grove,Hanover,R06 - North Richmond,R06D - Mechanicsville,060,"23116, 23111, 23235",2931,714
296211,110 - Longan,Henrico,R06 - North Richmond,R06B - HD 57,057,"23294, 23060, 23129, 23227",4136,2330
296231,217 - Maplewood,Henrico,R06 - North Richmond,R06C - Highland Park,080,23223,3187,2875
