van_precinct_id,county_name,van_precinct_name,Current Region,Current Turf,HDs,voters,supporters,precinct_name_doe,GEOID,centroid_lat,centroid_lon,min_lon,min_lat,max_lon,max_lat,Changed
1992181,Chesapeake (City),064 - Deep Creek II,R09 - Suffolk,R09C - HD 89,89,3774,1698,Deep Creek II,51550000064,36.65436234130596,-76.42301089685053,-76.49130221690262,36.550597233392374,-76.34425076451683,36.75935288591363,False
297135,Chesapeake (City),004 - Churchland,R09 - Suffolk,R09C - HD 89,89,2699,972,Churchland,51550000004,36.841684652397674,-76.39588902391644,-76.40961913305809,36.82767716392162,-76.38462202715893,36.85734667855243,False
297166,Chesapeake (City),035 - Taylor Road,R09 - Suffolk,R09C - HD 89,89,2184,1389,Taylor Road,51550000035,36.861680966387944,-76.4084242828973,-76.4212427695909,36.85280334178311,-76.3961651926086,36.8665693498924,False
297152,Chesapeake (City),021 - Fellowship,R09 - Suffolk,R09C - HD 89,89,3325,1595,Fellowship,51550000021,36.82968898624238,-76.41745049153525,-76.43330352634099,36.81904836594382,-76.3962644160233,36.8402645673222,False
297150,Chesapeake (City),019 - Jolliff,R09 - Suffolk,R09C - HD 89,89,1866,556,Jolliff,51550000019,36.797248722313704,-76.44532753498574,-76.46183695545898,36.778828368356855,-76.41363090670903,36.81696156450031,False
297177,Chesapeake (City),046 - Bells Mill II,R09 - Suffolk,R09C - HD 89,89,2679,929,Bells Mill II,51550000046,36.721552544487736,-76.27386866637471,-76.28775292433465,36.70995531325962,-76.25973069590214,36.731957228161306,False
297159,Chesapeake (City),028 - Sunray I,R09 - Suffolk,R09C - HD 89,89,584,199,Sunray I,51550000028,36.76825548628691,-76.43798120531387,-76.46714740195658,36.746170021124705,-76.39893962409224,36.78828737095984,False
297717,Williamsburg (City),001 - Stryker,R11 - Southside,R11C - HD 71,71,5521,3624,STRYKER,51830000001,37.284529547217794,-76.70633966383839,-76.74095154158029,37.265628845266534,-76.67836809415024,37.31013309248805,False
2274023,Roanoke,307 - West Hidden Valley,R13 - Southwest,R13D - HD41,41,1942,615,West Hidden Valley,51161000307,37.23497927086607,-80.06288345646057,-80.09728199941397,37.217660808031525,-80.02899000000015,37.25298500043601,False
297634,Virginia Beach (City),008 - Precinct 8,R10 - Virginia Beach / Norfolk,R10C - HD 97,97,3633,1631,PRECINCT 8,51810000008,36.84806072638215,-76.05900083728673,-76.07314006427076,36.840961213936474,-76.04787751967987,36.8567202540308,False
297639,Virginia Beach (City),013 - Precinct 13,R10 - Virginia Beach / Norfolk,R10C - HD 97,97,4381,1785,PRECINCT 13,51810000013,36.83009280222206,-76.10940634775667,-76.13088994575322,36.81925233475368,-76.0880203694913,36.83894298046935,False
297703,Virginia Beach (City),077 - Precinct 77,R10 - Virginia Beach / Norfolk,R10C - HD 97,97,3537,1588,PRECINCT 77,51810000077,36.82015758206032,-76.07787174498618,-76.09766585019149,36.80524679437162,-76.06682239703218,36.8333807350793,False
297677,Virginia Beach (City),051 - Precinct 51,R10 - Virginia Beach / Norfolk,R10C - HD 97,97,3041,1279,PRECINCT 51,51810000051,36.802634747903504,-76.16543278057355,-76.17490649546149,36.78967723239655,-76.1555016447511,36.813278914247014,False
297662,Virginia Beach (City),036 - Precinct 36,R10 - Virginia Beach / Norfolk,R10C - HD 97,97,4576,2516,PRECINCT 36,51810000036,36.82110799881304,-76.10601436098345,-76.11985133704918,36.81327507380169,-76.09577036451782,36.828268670926285,False
297681,Virginia Beach (City),055 - Precinct 55,R10 - Virginia Beach / Norfolk,R10C - HD 97,97,4467,2466,PRECINCT 55,51810000055,36.80404053951251,-76.07034641460294,-76.08593013086066,36.79201157704281,-76.05475400909377,36.816484079121665,False
297653,Virginia Beach (City),027 - Precinct 27,R10 - Virginia Beach / Norfolk,R10C - HD 97,97,1651,573,PRECINCT 27,51810000027,36.81274538043567,-76.1492807161566,-76.15667346380157,36.80614564034253,-76.13880861294905,36.81943009085607,False
546530,Virginia Beach (City),091 - Precinct 91,R10 - Virginia Beach / Norfolk,R10C - HD 97,97,4444,2212,PRECINCT 91,51810000091,36.80736000211236,-76.13135721891848,-76.1461580887162,36.796842786287655,-76.11716304052655,36.82134286919534,False
546533,Virginia Beach (City),094 - Precinct 94,R10 - Virginia Beach / Norfolk,R10C - HD 97,97,2461,1011,PRECINCT 94,51810000094,36.83054944405797,-76.06188488604896,-76.09100129491269,36.80835027270521,-76.04516418711027,36.84418188548108,False
